"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\Eventhandler.js", "JavaScript", 0, -92, -2, -6, -100
"c:\xampp\htdocs\fd\resources\js\Footer.js", "JavaScript", 0, -80, 0, -3, -83
"c:\xampp\htdocs\fd\resources\js\GLOBAL\Paths.js", "JavaScript", 0, -95, -6, -33, -134
"c:\xampp\htdocs\fd\resources\js\Helper\ProjectsHelper.js", "JavaScript", 0, -140, -1, -4, -145
"c:\xampp\htdocs\fd\resources\js\Helper\ProjectsHelperDesign.js", "JavaScript", 0, -48, 0, -1, -49
"c:\xampp\htdocs\fd\resources\js\Login\LoginHelper.js", "JavaScript", 0, -67, -25, -8, -100
"c:\xampp\htdocs\fd\resources\js\NavigationBar.js", "JavaScript", 0, -123, -3, -6, -132
"c:\xampp\htdocs\fd\resources\js\Orders\Order.js", "JavaScript", 0, -95, 0, -6, -101
"c:\xampp\htdocs\fd\resources\js\Pages\cart\cart.js", "JavaScript", 0, -21, -6, -4, -31
"c:\xampp\htdocs\fd\resources\js\Pages\cart\cartList.js", "JavaScript", 0, -118, -33, -15, -166
"c:\xampp\htdocs\fd\resources\js\Pages\cart\cartRight.js", "JavaScript", 0, -63, -4, -7, -74
"c:\xampp\htdocs\fd\resources\js\Pages\converterStart.js", "JavaScript", 0, -19, -5, -1, -25
"c:\xampp\htdocs\fd\resources\js\Pages\imprint.js", "JavaScript", 0, -36, -1, -6, -43
"c:\xampp\htdocs\fd\resources\js\Pages\index\index.js", "JavaScript", 0, -58, -12, -14, -84
"c:\xampp\htdocs\fd\resources\js\Pages\index\overlay.js", "JavaScript", 0, -292, -11, -11, -314
"c:\xampp\htdocs\fd\resources\js\Pages\pagesTemplate.js", "JavaScript", 0, -13, 0, -1, -14
"c:\xampp\htdocs\fd\resources\js\Pages\paymentComplete\paymentComplete.js", "JavaScript", 0, -30, -7, -4, -41
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\Details\ProjectDetailsDesktop.js", "JavaScript", 0, -332, -30, -40, -402
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\Details\ProjectDetailsHelper.js", "JavaScript", 0, -109, -3, -7, -119
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\Details\ProjectDetailsMobile.js", "JavaScript", 0, -169, -49, -24, -242
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectCategoryMenu.js", "JavaScript", 0, -129, -46, -5, -180
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectChoiceMenu.js", "JavaScript", 0, -259, -20, -21, -300
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectDetails.js", "JavaScript", 0, -26, 0, -1, -27
"c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectList.js", "JavaScript", 0, -126, -18, -10, -154
"c:\xampp\htdocs\fd\resources\js\Projects\Projects.js", "JavaScript", 0, -14, -3, -2, -19
"c:\xampp\htdocs\fd\resources\js\_WebWorker\SVGGeneratorWorker.js", "JavaScript", 0, -16, -4, -3, -23
"c:\xampp\htdocs\fd\resources\js\_WebWorker\normalMapWorker.js", "JavaScript", 0, -94, -4, -13, -111
"c:\xampp\htdocs\fd\resources\js\assets\UserData.js", "JavaScript", 0, -81, 0, -2, -83
"c:\xampp\htdocs\fd\resources\js\assets\functionsCouponCode.js", "JavaScript", 0, -83, 0, -3, -86
"c:\xampp\htdocs\fd\resources\js\assets\functionsHashtag.js", "JavaScript", 0, -37, 0, -2, -39
"c:\xampp\htdocs\fd\resources\js\assets\functionsProduct.js", "JavaScript", 0, -53, -2, -6, -61
"c:\xampp\htdocs\fd\resources\js\assets\functionsShoppingCart.js", "JavaScript", 0, -159, 0, -4, -163
"c:\xampp\htdocs\fd\resources\js\assets\product\productHelper.js", "JavaScript", 0, -136, 0, -7, -143
"c:\xampp\htdocs\fd\resources\js\lexOffice\lexOffice.js", "JavaScript", 0, -19, 0, -3, -22
"c:\xampp\htdocs\fd\resources\js\lexOffice\lexOfficeGenerateData.js", "JavaScript", 0, -150, -105, -30, -285
"c:\xampp\htdocs\fd\resources\js\lexOffice\lexOfficeHelper.js", "JavaScript", 0, -17, -4, -1, -22
"c:\xampp\htdocs\fd\resources\js\manager\manager.js", "JavaScript", 0, -28, -27, -5, -60
"c:\xampp\htdocs\fd\resources\js\manager\managerCallPHP.js", "JavaScript", 0, -55, -18, -4, -77
"c:\xampp\htdocs\fd\resources\js\manager\managerHelper.js", "JavaScript", 0, -36, -19, -9, -64
"c:\xampp\htdocs\fd\resources\js\manager\managerListener.js", "JavaScript", 0, 0, -51, -5, -56
"c:\xampp\htdocs\fd\resources\js\manager\managerObject.js", "JavaScript", 0, -88, -1, -1, -90
"c:\xampp\htdocs\fd\resources\js\manager\managerPageObject.js", "JavaScript", 0, -8, -1, -1, -10
"c:\xampp\htdocs\fd\resources\js\old\SVG_anmiation_test.js", "JavaScript", 0, -138, -2, -25, -165
"c:\xampp\htdocs\fd\resources\js\old\drawProductInformation.js", "JavaScript", 0, 0, -13, -2, -15
"Total", "-", 13843, -17939, -1410, -691, -6197
